n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.layer.best.quality.increase	xor._.hebbian.layer.best.quality.increase.min	xor._.hebbian.layer.best.quality.increase.max	xor._.hebbian.neuron.best.quality.increase	xor._.hebbian.neuron.best.quality.increase.min	xor._.hebbian.neuron.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
5.300e+03	4.073e-01	3.352e-01	4.425e-01	4.989e-01	4.229e-01	5.296e-01	9.117e-01	8.737e-01	9.358e-01	9.127e-01	8.588e-01	9.335e-01	6.050e-01	3.632e-01	6.869e-01
5.400e+03	3.716e-01	3.307e-01	4.185e-01	4.972e-01	4.228e-01	5.430e-01	9.299e-01	8.698e-01	9.608e-01	9.135e-01	8.682e-01	9.454e-01	5.302e-01	3.498e-01	6.756e-01
5.500e+03	3.762e-01	3.214e-01	4.461e-01	4.864e-01	4.107e-01	5.241e-01	9.300e-01	8.756e-01	9.501e-01	9.127e-01	8.361e-01	9.322e-01	5.642e-01	3.771e-01	6.848e-01
5.600e+03	4.113e-01	3.168e-01	4.635e-01	4.728e-01	3.992e-01	5.137e-01	9.203e-01	8.930e-01	9.453e-01	9.087e-01	8.323e-01	9.283e-01	5.750e-01	3.447e-01	6.717e-01
5.700e+03	4.116e-01	3.568e-01	4.450e-01	4.684e-01	4.046e-01	5.144e-01	9.126e-01	8.407e-01	9.477e-01	9.226e-01	8.632e-01	9.396e-01	5.645e-01	3.634e-01	6.751e-01
5.800e+03	4.220e-01	3.280e-01	4.389e-01	4.582e-01	3.779e-01	4.996e-01	9.091e-01	8.761e-01	9.342e-01	9.026e-01	8.307e-01	9.272e-01	4.752e-01	3.150e-01	7.176e-01
5.900e+03	4.087e-01	3.509e-01	4.657e-01	4.809e-01	4.376e-01	5.250e-01	9.212e-01	8.882e-01	9.416e-01	9.021e-01	8.463e-01	9.398e-01	5.524e-01	3.474e-01	7.582e-01
6.000e+03	3.943e-01	3.270e-01	4.562e-01	4.677e-01	4.135e-01	5.252e-01	9.089e-01	8.716e-01	9.487e-01	8.937e-01	8.682e-01	9.371e-01	5.750e-01	3.637e-01	6.686e-01
6.100e+03	4.196e-01	3.838e-01	4.453e-01	4.871e-01	4.311e-01	5.096e-01	9.192e-01	8.468e-01	9.423e-01	8.823e-01	8.350e-01	9.357e-01	5.522e-01	3.598e-01	6.557e-01
6.200e+03	4.023e-01	3.080e-01	4.570e-01	4.813e-01	4.096e-01	5.083e-01	9.117e-01	8.621e-01	9.402e-01	8.879e-01	8.184e-01	9.358e-01	5.641e-01	3.738e-01	7.263e-01
6.300e+03	4.199e-01	3.446e-01	4.603e-01	4.865e-01	4.195e-01	5.390e-01	9.292e-01	8.313e-01	9.566e-01	9.279e-01	9.041e-01	9.530e-01	5.653e-01	3.635e-01	7.147e-01
6.400e+03	3.845e-01	3.293e-01	4.228e-01	5.020e-01	4.108e-01	5.229e-01	9.001e-01	8.674e-01	9.317e-01	8.807e-01	8.144e-01	9.166e-01	5.325e-01	3.130e-01	6.752e-01
6.500e+03	4.014e-01	3.163e-01	4.452e-01	4.844e-01	4.252e-01	5.179e-01	9.004e-01	8.570e-01	9.262e-01	8.917e-01	8.396e-01	9.211e-01	5.678e-01	3.758e-01	7.250e-01
6.600e+03	3.881e-01	2.951e-01	4.241e-01	4.724e-01	4.226e-01	5.114e-01	9.005e-01	8.731e-01	9.346e-01	8.980e-01	8.556e-01	9.433e-01	5.754e-01	3.754e-01	7.249e-01
6.700e+03	3.897e-01	3.261e-01	4.221e-01	4.862e-01	4.032e-01	5.225e-01	9.164e-01	8.779e-01	9.441e-01	8.887e-01	8.560e-01	9.225e-01	5.990e-01	3.772e-01	7.153e-01
6.800e+03	4.002e-01	3.450e-01	4.319e-01	4.855e-01	4.379e-01	5.172e-01	9.063e-01	8.801e-01	9.285e-01	8.734e-01	8.095e-01	9.099e-01	5.643e-01	3.136e-01	6.941e-01
6.900e+03	4.093e-01	3.261e-01	4.541e-01	4.700e-01	4.080e-01	5.332e-01	9.162e-01	8.499e-01	9.409e-01	8.933e-01	8.084e-01	9.267e-01	5.731e-01	3.650e-01	7.247e-01
7.000e+03	3.912e-01	3.422e-01	4.602e-01	4.519e-01	3.927e-01	5.166e-01	9.325e-01	9.065e-01	9.458e-01	8.956e-01	8.328e-01	9.251e-01	5.847e-01	3.758e-01	6.712e-01
7.100e+03	4.018e-01	3.520e-01	4.480e-01	4.771e-01	3.995e-01	5.141e-01	8.872e-01	8.372e-01	9.151e-01	8.869e-01	8.481e-01	9.166e-01	5.643e-01	3.667e-01	6.206e-01
7.200e+03	4.181e-01	3.656e-01	4.600e-01	4.672e-01	4.119e-01	5.330e-01	8.891e-01	8.441e-01	9.469e-01	8.964e-01	8.450e-01	9.106e-01	5.340e-01	3.328e-01	7.077e-01
7.300e+03	4.120e-01	3.383e-01	4.468e-01	4.529e-01	4.024e-01	5.054e-01	9.136e-01	8.760e-01	9.435e-01	8.943e-01	8.326e-01	9.318e-01	5.646e-01	3.173e-01	6.720e-01
