n.evals.q.1.0.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
4.200e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.979e-01	9.857e-01	1.000e+00	9.827e-01	8.730e-01	9.996e-01	5.000e-01	5.000e-01	1.000e+00
4.300e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.997e-01	5.000e-01	9.969e-01	8.842e-01	1.000e+00	9.922e-01	9.375e-01	9.999e-01	5.000e-01	5.000e-01	1.000e+00
4.400e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.999e-01	5.000e-01	9.988e-01	9.766e-01	9.999e-01	9.914e-01	9.116e-01	9.985e-01	5.000e-01	5.000e-01	1.000e+00
4.500e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.999e-01	5.000e-01	9.994e-01	9.765e-01	1.000e+00	9.972e-01	9.177e-01	9.999e-01	5.000e-01	5.000e-01	1.000e+00
4.600e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.998e-01	9.088e-01	1.000e+00	9.917e-01	9.100e-01	9.978e-01	5.000e-01	5.000e-01	1.000e+00
4.700e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.999e-01	5.000e-01	9.992e-01	9.708e-01	9.999e-01	9.798e-01	9.273e-01	9.994e-01	5.000e-01	5.000e-01	1.000e+00
4.800e+03	5.000e-01	4.885e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.995e-01	9.745e-01	1.000e+00	9.990e-01	9.934e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
4.900e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.998e-01	5.000e-01	9.990e-01	9.888e-01	1.000e+00	9.985e-01	9.881e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
5.000e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.996e-01	5.000e-01	9.995e-01	9.231e-01	1.000e+00	9.919e-01	9.491e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
5.100e+03	5.000e-01	4.948e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.996e-01	9.769e-01	1.000e+00	9.927e-01	8.877e-01	9.999e-01	5.000e-01	5.000e-01	1.000e+00
5.200e+03	5.000e-01	4.971e-01	5.000e-01	5.000e-01	4.998e-01	5.000e-01	9.996e-01	9.557e-01	9.999e-01	9.942e-01	9.374e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
5.300e+03	5.000e-01	4.999e-01	5.000e-01	5.000e-01	4.997e-01	5.000e-01	9.999e-01	9.799e-01	1.000e+00	9.913e-01	9.538e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
5.400e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.997e-01	9.531e-01	1.000e+00	9.993e-01	9.871e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
5.500e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.999e-01	5.000e-01	9.975e-01	9.673e-01	1.000e+00	9.951e-01	9.732e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
5.600e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.917e-01	5.000e-01	9.998e-01	9.928e-01	1.000e+00	9.991e-01	9.659e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
5.700e+03	5.000e-01	4.999e-01	5.000e-01	5.000e-01	4.969e-01	5.000e-01	9.968e-01	9.267e-01	9.996e-01	9.963e-01	9.354e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
5.800e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.990e-01	9.493e-01	9.999e-01	9.996e-01	9.481e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
5.900e+03	5.000e-01	4.998e-01	5.000e-01	5.000e-01	4.999e-01	5.000e-01	9.996e-01	9.930e-01	1.000e+00	9.996e-01	9.811e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
6.000e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.996e-01	9.667e-01	1.000e+00	9.995e-01	9.870e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
6.100e+03	5.000e-01	4.995e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.976e-01	9.164e-01	1.000e+00	9.862e-01	9.061e-01	9.997e-01	5.000e-01	5.000e-01	1.000e+00
6.200e+03	5.000e-01	4.999e-01	5.000e-01	5.000e-01	4.998e-01	5.000e-01	9.985e-01	9.466e-01	9.999e-01	9.954e-01	9.763e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
6.300e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.991e-01	9.684e-01	9.999e-01	9.999e-01	9.932e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
6.400e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.957e-01	5.000e-01	9.994e-01	9.802e-01	1.000e+00	9.998e-01	9.567e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
6.500e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.997e-01	9.752e-01	1.000e+00	9.985e-01	9.803e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
6.600e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.989e-01	9.765e-01	1.000e+00	9.982e-01	9.762e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
6.700e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.998e-01	5.000e-01	9.998e-01	9.930e-01	1.000e+00	9.998e-01	9.731e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
6.800e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.999e-01	9.929e-01	1.000e+00	9.999e-01	9.812e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
6.900e+03	5.000e-01	4.960e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.995e-01	9.840e-01	1.000e+00	9.998e-01	9.460e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
7.000e+03	5.000e-01	4.999e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.999e-01	9.927e-01	1.000e+00	9.982e-01	9.732e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
7.100e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.998e-01	9.922e-01	1.000e+00	9.998e-01	9.839e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
7.200e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.991e-01	5.000e-01	9.991e-01	9.790e-01	1.000e+00	9.999e-01	9.929e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
7.300e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	4.995e-01	5.000e-01	9.999e-01	9.953e-01	1.000e+00	9.994e-01	9.883e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
7.400e+03	5.000e-01	4.999e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.990e-01	9.784e-01	1.000e+00	9.999e-01	9.970e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
7.500e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.989e-01	9.845e-01	1.000e+00	9.998e-01	9.843e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
7.600e+03	5.000e-01	4.959e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.963e-01	9.458e-01	1.000e+00	9.998e-01	9.959e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
7.700e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	1.000e+00	9.975e-01	1.000e+00	9.999e-01	9.749e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
7.800e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	1.000e+00	9.775e-01	1.000e+00	9.998e-01	9.775e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
7.900e+03	5.000e-01	4.997e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	1.000e+00	9.965e-01	1.000e+00	9.986e-01	9.810e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
8.000e+03	5.000e-01	4.776e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	1.000e+00	9.949e-01	1.000e+00	9.994e-01	9.432e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
8.100e+03	5.000e-01	4.998e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.993e-01	9.973e-01	1.000e+00	1.000e+00	9.973e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
8.200e+03	5.000e-01	4.998e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.999e-01	9.958e-01	1.000e+00	1.000e+00	9.984e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
8.300e+03	5.000e-01	4.651e-01	5.000e-01	5.000e-01	4.999e-01	5.000e-01	9.998e-01	9.692e-01	1.000e+00	1.000e+00	9.975e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
8.400e+03	5.000e-01	4.997e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.998e-01	9.983e-01	1.000e+00	9.999e-01	9.855e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
8.500e+03	5.000e-01	4.998e-01	5.000e-01	5.000e-01	4.999e-01	5.000e-01	9.999e-01	9.908e-01	1.000e+00	9.998e-01	9.847e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
8.600e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.997e-01	9.502e-01	1.000e+00	9.999e-01	9.961e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
8.700e+03	5.000e-01	4.043e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.999e-01	9.861e-01	1.000e+00	1.000e+00	9.979e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
8.800e+03	5.000e-01	4.866e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.999e-01	9.988e-01	1.000e+00	9.994e-01	9.933e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
8.900e+03	5.000e-01	4.698e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.928e-01	9.491e-01	1.000e+00	1.000e+00	9.912e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
9.000e+03	5.000e-01	4.087e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.999e-01	9.917e-01	1.000e+00	1.000e+00	9.980e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
9.100e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	1.000e+00	9.953e-01	1.000e+00	1.000e+00	9.993e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
9.200e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.996e-01	9.912e-01	1.000e+00	9.999e-01	9.870e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
9.300e+03	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	9.990e-01	9.644e-01	1.000e+00	1.000e+00	9.979e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
