n.evals.q.1.0.	nav.lives._.me.hebbian.neuron.best.quality.inconsistency	nav.lives._.me.hebbian.neuron.best.quality.inconsistency.min	nav.lives._.me.hebbian.neuron.best.quality.inconsistency.max	nav.lives._.me.freeForm.best.quality.inconsistency	nav.lives._.me.freeForm.best.quality.inconsistency.min	nav.lives._.me.freeForm.best.quality.inconsistency.max
9.500e+03	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.770e-01
9.600e+03	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.770e-01
9.700e+03	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.770e-01
9.800e+03	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.770e-01
9.900e+03	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.770e-01
1.000e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.770e-01
1.010e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.770e-01
1.020e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.770e-01
1.030e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.770e-01
1.040e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.770e-01
1.050e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.770e-01
1.060e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.770e-01
1.070e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.853e-01
1.080e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.853e-01
1.090e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.853e-01
1.100e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.853e-01
1.110e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.853e-01
1.120e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	7.922e-04	4.853e-01
1.130e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	9.545e-04	4.853e-01
1.140e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	5.550e-02	4.853e-01
1.150e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	2.065e-01	4.853e-01
1.160e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	2.065e-01	4.853e-01
1.170e+04	4.659e-01	4.613e-01	4.995e-01	4.728e-01	2.326e-01	4.907e-01
1.180e+04	4.659e-01	4.613e-01	4.995e-01	4.907e-01	4.728e-01	4.941e-01
1.190e+04	4.659e-01	4.613e-01	4.995e-01	4.907e-01	4.728e-01	4.941e-01
1.200e+04	4.659e-01	4.613e-01	4.995e-01	4.907e-01	4.728e-01	4.941e-01
1.210e+04	4.659e-01	4.613e-01	4.995e-01	4.907e-01	4.728e-01	4.941e-01
1.220e+04	4.659e-01	4.613e-01	4.995e-01	4.907e-01	4.728e-01	4.941e-01
1.230e+04	4.659e-01	4.613e-01	4.974e-01	4.907e-01	4.728e-01	4.941e-01
1.240e+04	4.659e-01	4.613e-01	4.974e-01	4.907e-01	4.728e-01	4.941e-01
1.250e+04	4.659e-01	4.613e-01	4.974e-01	4.907e-01	4.728e-01	4.941e-01
1.260e+04	4.659e-01	4.613e-01	4.974e-01	4.907e-01	4.728e-01	4.941e-01
1.270e+04	4.659e-01	4.613e-01	4.974e-01	4.907e-01	4.728e-01	4.941e-01
1.280e+04	4.659e-01	4.613e-01	4.974e-01	4.907e-01	4.728e-01	4.941e-01
1.290e+04	4.659e-01	4.613e-01	4.974e-01	4.907e-01	4.728e-01	4.941e-01
1.300e+04	4.659e-01	4.613e-01	4.974e-01	4.907e-01	4.728e-01	4.941e-01
1.310e+04	4.659e-01	4.613e-01	4.698e-01	4.907e-01	4.728e-01	4.941e-01
1.320e+04	4.659e-01	4.613e-01	4.698e-01	4.907e-01	4.728e-01	4.941e-01
1.330e+04	4.659e-01	4.613e-01	4.698e-01	4.907e-01	4.728e-01	4.941e-01
1.340e+04	4.659e-01	4.613e-01	4.698e-01	4.907e-01	4.728e-01	4.941e-01
1.350e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.360e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.370e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.380e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.390e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.400e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.410e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.420e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.430e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.440e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.450e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.460e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.470e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.480e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.490e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.500e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.510e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.520e+04	4.659e-01	4.613e-01	4.698e-01	4.941e-01	4.728e-01	4.980e-01
1.530e+04	4.659e-01	4.613e-01	4.698e-01	4.728e-01	4.618e-01	4.980e-01
1.540e+04	4.659e-01	4.613e-01	4.698e-01	4.728e-01	4.618e-01	4.980e-01
1.550e+04	4.659e-01	4.613e-01	4.698e-01	4.728e-01	4.618e-01	4.980e-01
1.560e+04	4.659e-01	4.613e-01	4.698e-01	4.728e-01	4.618e-01	4.980e-01
