problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→maturePerformance;best→quality→increase;best→quality→inconsistency
nav-lives;me-hebbian-neuron;2;[8];30;3000;3000;4.42380e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];30;3000;3000;4.49620e+01;28;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];31;3100;3100;4.56220e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];31;3100;3100;4.63330e+01;28;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];32;3200;3200;4.70540e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];32;3200;3200;4.77340e+01;28;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];33;3300;3300;4.84690e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];33;3300;3300;4.93050e+01;28;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];34;3400;3400;4.99070e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];34;3400;3400;5.05890e+01;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];35;3500;3500;5.13540e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];35;3500;3500;5.20130e+01;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];36;3600;3600;5.28000e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];36;3600;3600;5.34740e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];37;3700;3700;5.41720e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];37;3700;3700;5.48630e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];38;3800;3800;5.56060e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];38;3800;3800;5.62740e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];39;3900;3900;5.70340e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];39;3900;3900;5.77290e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];40;4000;4000;5.84530e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];40;4000;4000;5.91610e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];41;4100;4100;5.97950e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];41;4100;4100;6.04930e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];42;4200;4200;6.13250e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];42;4200;4200;6.19590e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];43;4300;4300;6.27460e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];43;4300;4300;6.34300e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];44;4400;4400;6.41180e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];44;4400;4400;6.48180e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];45;4500;4500;6.55570e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];45;4500;4500;6.62730e+01;31;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];46;4600;4600;6.69730e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];46;4600;4600;6.76880e+01;31;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];47;4700;4700;6.83860e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];47;4700;4700;6.90650e+01;31;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];48;4800;4800;6.97680e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];48;4800;4800;7.05380e+01;31;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];49;4900;4900;7.12190e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];49;4900;4900;7.19700e+01;31;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];50;5000;5000;7.26850e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];50;5000;5000;7.33380e+01;31;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];51;5100;5100;7.40790e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];51;5100;5100;7.48000e+01;31;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];52;5200;5200;7.55910e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];52;5200;5200;7.62100e+01;31;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];53;5300;5300;7.69330e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];53;5300;5300;7.76770e+01;31;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];54;5400;5400;7.83660e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];54;5400;5400;7.91600e+01;31;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];55;5500;5500;7.97240e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];55;5500;5500;8.04950e+01;33;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.75061e-01;3.79584e-01;2.17369e-01
nav-lives;me-hebbian-neuron;2;[8];56;5600;5600;8.11700e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];56;5600;5600;8.19510e+01;33;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.99424e-01;4.05904e-01;4.77396e-01
nav-lives;me-hebbian-neuron;2;[8];57;5700;5700;8.26180e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];57;5700;5700;8.32990e+01;34;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.34591e-01;6.39644e-01;4.82428e-01
nav-lives;me-hebbian-neuron;2;[8];58;5800;5800;8.40070e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];58;5800;5800;8.47450e+01;34;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.34591e-01;6.39644e-01;4.82428e-01
nav-lives;me-hebbian-neuron;2;[8];59;5900;5900;8.54790e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];59;5900;5900;8.61870e+01;34;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.34591e-01;6.39644e-01;4.82428e-01
nav-lives;me-hebbian-neuron;2;[8];60;6000;6000;8.68320e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];60;6000;6000;8.77380e+01;34;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.34591e-01;6.39644e-01;4.82428e-01
nav-lives;me-hebbian-neuron;2;[8];61;6100;6100;8.83160e+01;30;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];61;6100;6100;8.89920e+01;35;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.34591e-01;6.39644e-01;4.82428e-01
