n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
5.500e+03	2.502e-01	8.956e-02	3.663e-01	1.190e-01	5.894e-02	2.397e-01	3.756e-01	3.008e-01	4.763e-01	3.827e-01	3.038e-01	4.782e-01	9.983e-01	5.078e-01	1.000e+00
5.600e+03	2.502e-01	8.956e-02	3.663e-01	1.522e-01	6.765e-02	2.397e-01	3.734e-01	3.000e-01	4.706e-01	3.827e-01	3.038e-01	4.782e-01	9.983e-01	5.078e-01	1.000e+00
5.700e+03	2.502e-01	8.956e-02	3.663e-01	1.522e-01	6.765e-02	2.397e-01	3.734e-01	2.656e-01	4.706e-01	3.827e-01	3.038e-01	4.782e-01	9.983e-01	5.078e-01	1.000e+00
5.800e+03	2.502e-01	8.956e-02	3.663e-01	1.522e-01	6.765e-02	2.397e-01	3.734e-01	2.656e-01	4.706e-01	3.827e-01	3.038e-01	4.684e-01	9.983e-01	5.078e-01	1.000e+00
5.900e+03	2.502e-01	8.956e-02	3.663e-01	1.527e-01	6.765e-02	2.397e-01	3.734e-01	2.656e-01	4.706e-01	3.827e-01	3.038e-01	4.684e-01	9.998e-01	5.078e-01	1.000e+00
6.000e+03	2.502e-01	8.956e-02	3.663e-01	1.527e-01	6.765e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.827e-01	3.038e-01	4.684e-01	9.998e-01	5.078e-01	1.000e+00
6.100e+03	2.502e-01	8.956e-02	3.663e-01	1.527e-01	6.765e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.827e-01	3.038e-01	4.684e-01	9.998e-01	5.078e-01	1.000e+00
6.200e+03	2.502e-01	8.956e-02	3.663e-01	1.527e-01	6.765e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.827e-01	3.038e-01	4.684e-01	9.998e-01	5.078e-01	1.000e+00
6.300e+03	2.502e-01	8.956e-02	3.663e-01	1.527e-01	6.765e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.827e-01	3.038e-01	4.684e-01	9.998e-01	5.078e-01	1.000e+00
6.400e+03	2.502e-01	8.956e-02	3.663e-01	1.522e-01	5.894e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.827e-01	3.038e-01	4.684e-01	9.983e-01	5.078e-01	1.000e+00
6.500e+03	2.502e-01	8.956e-02	3.663e-01	1.522e-01	5.894e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.827e-01	3.038e-01	4.684e-01	9.983e-01	5.078e-01	1.000e+00
6.600e+03	2.502e-01	8.956e-02	3.663e-01	1.522e-01	5.894e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.827e-01	3.038e-01	4.684e-01	9.983e-01	5.078e-01	1.000e+00
6.700e+03	2.502e-01	8.956e-02	3.663e-01	1.527e-01	6.765e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.827e-01	3.038e-01	4.684e-01	9.983e-01	5.078e-01	1.000e+00
6.800e+03	2.502e-01	8.956e-02	2.550e-01	1.527e-01	6.765e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.827e-01	3.038e-01	4.684e-01	9.983e-01	5.078e-01	1.000e+00
6.900e+03	2.502e-01	8.956e-02	2.550e-01	1.527e-01	6.765e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.983e-01	5.078e-01	1.000e+00
7.000e+03	2.502e-01	8.956e-02	2.550e-01	1.527e-01	6.765e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.983e-01	5.078e-01	1.000e+00
7.100e+03	2.502e-01	9.400e-02	2.550e-01	1.522e-01	5.894e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.983e-01	5.078e-01	1.000e+00
7.200e+03	2.502e-01	9.400e-02	2.550e-01	1.522e-01	5.894e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.983e-01	5.078e-01	1.000e+00
7.300e+03	2.502e-01	9.400e-02	2.550e-01	1.522e-01	5.894e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.983e-01	5.423e-01	1.000e+00
7.400e+03	2.502e-01	9.400e-02	2.550e-01	1.522e-01	5.894e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.983e-01	5.423e-01	1.000e+00
7.500e+03	2.502e-01	9.400e-02	2.550e-01	1.522e-01	5.894e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
7.600e+03	2.502e-01	9.400e-02	2.550e-01	1.522e-01	5.894e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
7.700e+03	2.503e-01	1.131e-01	2.550e-01	1.522e-01	5.894e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
7.800e+03	2.503e-01	1.131e-01	2.550e-01	1.522e-01	6.765e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
7.900e+03	2.503e-01	1.131e-01	2.550e-01	1.522e-01	6.765e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.423e-01	1.000e+00
8.000e+03	2.503e-01	1.131e-01	2.550e-01	1.522e-01	6.765e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
8.100e+03	2.503e-01	1.131e-01	2.550e-01	1.527e-01	6.911e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
8.200e+03	2.503e-01	1.131e-01	2.550e-01	1.527e-01	6.911e-02	2.415e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
8.300e+03	2.503e-01	1.131e-01	2.550e-01	1.527e-01	6.911e-02	2.397e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
8.400e+03	2.503e-01	1.131e-01	2.550e-01	1.527e-01	6.911e-02	2.397e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
8.500e+03	2.503e-01	1.131e-01	2.550e-01	1.527e-01	6.911e-02	2.397e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
8.600e+03	2.503e-01	1.131e-01	2.550e-01	1.741e-01	6.911e-02	2.397e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
8.700e+03	2.503e-01	1.131e-01	2.550e-01	1.769e-01	6.911e-02	2.397e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
8.800e+03	2.503e-01	1.131e-01	2.550e-01	1.769e-01	6.911e-02	2.397e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
8.900e+03	2.503e-01	1.131e-01	2.550e-01	1.741e-01	6.911e-02	2.328e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
9.000e+03	2.503e-01	1.131e-01	2.550e-01	1.741e-01	6.911e-02	2.328e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
9.100e+03	2.503e-01	1.131e-01	2.550e-01	1.741e-01	9.036e-02	2.328e-01	3.734e-01	2.656e-01	4.706e-01	3.775e-01	3.038e-01	4.622e-01	9.998e-01	5.846e-01	1.000e+00
9.200e+03	2.503e-01	1.131e-01	2.550e-01	1.741e-01	9.036e-02	2.328e-01	3.734e-01	2.656e-01	4.706e-01	3.734e-01	3.020e-01	4.622e-01	1.000e+00	5.846e-01	1.000e+00
