n.evals.q.1.0.	parity._.me.hebbian.network.best.quality.inconsistency	parity._.me.hebbian.network.best.quality.inconsistency.min	parity._.me.hebbian.network.best.quality.inconsistency.max	parity._.me.hebbian.layer.best.quality.inconsistency	parity._.me.hebbian.layer.best.quality.inconsistency.min	parity._.me.hebbian.layer.best.quality.inconsistency.max	parity._.me.hebbian.neuron.best.quality.inconsistency	parity._.me.hebbian.neuron.best.quality.inconsistency.min	parity._.me.hebbian.neuron.best.quality.inconsistency.max	parity._.me.hebbian.synapse.best.quality.inconsistency	parity._.me.hebbian.synapse.best.quality.inconsistency.min	parity._.me.hebbian.synapse.best.quality.inconsistency.max	parity._.me.freeForm.best.quality.inconsistency	parity._.me.freeForm.best.quality.inconsistency.min	parity._.me.freeForm.best.quality.inconsistency.max
9.500e+03	8.394e-01	5.929e-01	9.626e-01	4.081e-01	1.975e-01	4.719e-01	3.063e-01	2.254e-01	4.187e-01	5.335e-01	3.987e-01	6.561e-01	8.180e-01	7.634e-01	8.537e-01
9.600e+03	8.394e-01	5.929e-01	9.626e-01	4.081e-01	1.975e-01	4.719e-01	3.063e-01	2.254e-01	4.187e-01	5.335e-01	4.064e-01	6.561e-01	8.180e-01	7.634e-01	8.537e-01
9.700e+03	8.394e-01	5.929e-01	9.626e-01	4.069e-01	1.975e-01	4.719e-01	3.310e-01	2.254e-01	4.187e-01	5.335e-01	4.064e-01	6.561e-01	8.180e-01	7.634e-01	8.537e-01
9.800e+03	8.394e-01	5.929e-01	9.626e-01	4.069e-01	1.975e-01	4.719e-01	3.310e-01	2.254e-01	4.187e-01	5.335e-01	4.064e-01	6.561e-01	8.180e-01	7.634e-01	8.537e-01
9.900e+03	8.394e-01	5.929e-01	9.626e-01	4.069e-01	1.975e-01	4.719e-01	3.310e-01	2.254e-01	4.187e-01	5.335e-01	3.987e-01	6.561e-01	8.180e-01	7.634e-01	8.537e-01
1.000e+04	8.394e-01	5.929e-01	9.626e-01	4.069e-01	1.975e-01	4.719e-01	3.310e-01	2.254e-01	4.187e-01	4.714e-01	3.990e-01	6.472e-01	8.180e-01	7.634e-01	8.424e-01
1.010e+04	8.394e-01	5.929e-01	9.626e-01	4.069e-01	1.975e-01	4.719e-01	3.310e-01	2.254e-01	4.187e-01	4.714e-01	4.064e-01	6.472e-01	8.180e-01	7.634e-01	8.424e-01
1.020e+04	8.394e-01	5.929e-01	9.626e-01	4.069e-01	1.975e-01	4.719e-01	3.310e-01	2.254e-01	4.187e-01	4.714e-01	4.064e-01	6.430e-01	8.180e-01	7.634e-01	8.424e-01
1.030e+04	8.394e-01	5.929e-01	9.626e-01	4.069e-01	1.975e-01	4.719e-01	3.310e-01	2.254e-01	4.187e-01	4.714e-01	4.064e-01	6.430e-01	8.180e-01	7.634e-01	8.424e-01
1.040e+04	8.394e-01	5.929e-01	9.626e-01	4.069e-01	1.975e-01	4.719e-01	3.310e-01	2.254e-01	4.187e-01	4.714e-01	4.064e-01	6.430e-01	8.180e-01	7.634e-01	8.424e-01
1.050e+04	8.394e-01	5.929e-01	9.626e-01	4.069e-01	1.975e-01	4.719e-01	3.310e-01	2.254e-01	4.187e-01	4.607e-01	3.987e-01	6.281e-01	8.180e-01	7.634e-01	8.424e-01
1.060e+04	8.394e-01	5.929e-01	9.626e-01	2.936e-01	1.975e-01	4.570e-01	3.310e-01	2.254e-01	4.187e-01	4.607e-01	3.851e-01	6.281e-01	8.122e-01	7.634e-01	8.424e-01
1.070e+04	8.394e-01	5.929e-01	9.626e-01	2.936e-01	1.975e-01	4.570e-01	3.310e-01	2.254e-01	4.187e-01	4.607e-01	3.851e-01	6.281e-01	8.122e-01	7.634e-01	8.424e-01
1.080e+04	8.394e-01	5.929e-01	9.626e-01	2.936e-01	1.975e-01	4.570e-01	3.310e-01	2.254e-01	4.187e-01	4.607e-01	3.987e-01	6.281e-01	8.122e-01	7.634e-01	8.424e-01
1.090e+04	8.394e-01	5.929e-01	9.626e-01	2.922e-01	1.975e-01	4.570e-01	3.310e-01	2.254e-01	4.187e-01	4.607e-01	3.987e-01	6.281e-01	8.122e-01	7.634e-01	8.424e-01
1.100e+04	8.394e-01	5.929e-01	9.626e-01	2.922e-01	1.975e-01	4.570e-01	3.310e-01	2.254e-01	4.187e-01	4.607e-01	3.987e-01	6.281e-01	8.122e-01	7.634e-01	8.326e-01
