n.evals.q.1.0.	parity._.me.hebbian.network.best.quality.increase	parity._.me.hebbian.network.best.quality.increase.min	parity._.me.hebbian.network.best.quality.increase.max	parity._.me.hebbian.layer.best.quality.increase	parity._.me.hebbian.layer.best.quality.increase.min	parity._.me.hebbian.layer.best.quality.increase.max	parity._.me.hebbian.neuron.best.quality.increase	parity._.me.hebbian.neuron.best.quality.increase.min	parity._.me.hebbian.neuron.best.quality.increase.max	parity._.me.hebbian.synapse.best.quality.increase	parity._.me.hebbian.synapse.best.quality.increase.min	parity._.me.hebbian.synapse.best.quality.increase.max	parity._.me.freeForm.best.quality.increase	parity._.me.freeForm.best.quality.increase.min	parity._.me.freeForm.best.quality.increase.max
5.300e+03	2.053e-01	5.367e-02	2.771e-01	9.938e-02	8.563e-02	1.885e-01	2.757e-01	2.191e-01	4.027e-01	2.922e-01	2.441e-01	4.627e-01	2.816e-01	1.691e-01	3.651e-01
5.400e+03	2.053e-01	5.367e-02	2.771e-01	9.908e-02	8.563e-02	1.594e-01	2.757e-01	2.191e-01	4.027e-01	2.913e-01	2.342e-01	4.627e-01	2.816e-01	1.691e-01	3.651e-01
5.500e+03	2.053e-01	5.367e-02	2.771e-01	9.908e-02	8.563e-02	1.885e-01	2.757e-01	2.191e-01	4.027e-01	2.828e-01	1.323e-01	4.492e-01	2.816e-01	1.691e-01	3.651e-01
5.600e+03	2.053e-01	5.367e-02	2.771e-01	9.908e-02	8.563e-02	1.885e-01	2.757e-01	2.191e-01	4.027e-01	2.778e-01	1.323e-01	4.422e-01	2.946e-01	1.691e-01	3.679e-01
5.700e+03	2.053e-01	5.367e-02	2.771e-01	9.908e-02	8.563e-02	1.885e-01	2.757e-01	2.191e-01	4.027e-01	2.778e-01	1.323e-01	4.422e-01	2.946e-01	1.691e-01	3.679e-01
5.800e+03	2.053e-01	5.367e-02	2.771e-01	9.908e-02	8.563e-02	1.885e-01	2.757e-01	2.191e-01	3.958e-01	2.778e-01	1.323e-01	4.422e-01	2.946e-01	1.691e-01	3.679e-01
5.900e+03	2.053e-01	5.367e-02	2.771e-01	9.908e-02	8.563e-02	1.885e-01	2.757e-01	2.191e-01	3.958e-01	2.778e-01	1.323e-01	4.627e-01	2.912e-01	1.691e-01	3.679e-01
6.000e+03	2.053e-01	5.367e-02	2.771e-01	9.908e-02	8.563e-02	1.885e-01	2.757e-01	2.191e-01	3.958e-01	2.778e-01	1.323e-01	4.627e-01	2.912e-01	1.691e-01	3.679e-01
6.100e+03	2.053e-01	5.367e-02	2.771e-01	9.908e-02	8.563e-02	1.885e-01	2.757e-01	2.191e-01	3.958e-01	2.778e-01	1.323e-01	4.422e-01	2.912e-01	1.764e-01	3.765e-01
6.200e+03	2.053e-01	5.367e-02	2.771e-01	9.908e-02	8.563e-02	1.885e-01	2.757e-01	2.191e-01	3.958e-01	2.778e-01	1.323e-01	4.422e-01	2.912e-01	1.764e-01	3.765e-01
