n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.maturePerformance	xor._.me.hebbian.network.best.quality.maturePerformance.min	xor._.me.hebbian.network.best.quality.maturePerformance.max	xor._.me.hebbian.layer.best.quality.maturePerformance	xor._.me.hebbian.layer.best.quality.maturePerformance.min	xor._.me.hebbian.layer.best.quality.maturePerformance.max	xor._.me.hebbian.neuron.best.quality.maturePerformance	xor._.me.hebbian.neuron.best.quality.maturePerformance.min	xor._.me.hebbian.neuron.best.quality.maturePerformance.max	xor._.me.hebbian.synapse.best.quality.maturePerformance	xor._.me.hebbian.synapse.best.quality.maturePerformance.min	xor._.me.hebbian.synapse.best.quality.maturePerformance.max	xor._.me.freeForm.best.quality.maturePerformance	xor._.me.freeForm.best.quality.maturePerformance.min	xor._.me.freeForm.best.quality.maturePerformance.max
6.600e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
6.700e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
6.800e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
6.900e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
7.000e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
7.100e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
7.200e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
7.300e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
7.400e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
7.500e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
7.600e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
7.700e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
7.800e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
7.900e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
8.000e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
8.100e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
8.200e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	7.000e-01	1.000e+00
8.300e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.700e-01	1.000e+00
8.400e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.700e-01	1.000e+00
8.500e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.700e-01	1.000e+00
8.600e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.700e-01	1.000e+00
8.700e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.700e-01	1.000e+00
8.800e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	8.700e-01	1.000e+00
8.900e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	9.800e-01	1.000e+00
9.000e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	9.800e-01	1.000e+00
9.100e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	9.800e-01	1.000e+00
9.200e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	9.800e-01	1.000e+00
9.300e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
9.400e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
9.500e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
9.600e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
9.700e+03	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	5.600e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00
